Rank,Team,GM,W-L,FGM,FGA,FG%
187,UNLV (Mountain West),31,17-14,767,"1,720",44.6
188,Marquette (Big East),31,22-9,864,"1,939",44.6
189,San Diego St. (Mountain West),29,21-8,748,"1,679",44.6
190,George Washington (Atlantic 10),31,20-11,780,"1,752",44.5
191,Little Rock (OVC),33,19-14,843,"1,894",44.5
192,Marist (MAAC),29,20-9,732,"1,645",44.5
193,Washington (Big Ten),31,13-18,788,"1,771",44.5
194,UT Arlington (WAC),30,13-17,773,"1,738",44.5
195,Stetson (ASUN),32,8-24,805,"1,810",44.5
196,Southeastern La. (Southland),32,18-14,824,"1,854",44.4
197,DePaul (Big East),31,13-18,803,"1,807",44.4
198,North Florida (ASUN),32,15-17,944,"2,125",44.4
199,UTRGV (Southland),31,16-15,872,"1,965",44.4
200,South Alabama (Sun Belt),32,21-11,814,"1,835",44.4
201,Harvard (Ivy League),27,12-15,679,"1,532",44.3
202,Pepperdine (WCC),33,13-21,870,"1,963",44.3
203,Ole Miss (SEC),31,21-10,827,"1,866",44.3
204,Sacred Heart (MAAC),31,14-17,849,"1,916",44.3
205,Providence (Big East),31,12-19,778,"1,756",44.3
206,Minnesota (Big Ten),31,15-16,776,"1,753",44.3
207,Idaho (Big Sky),31,13-18,781,"1,765",44.2
208,Virginia Tech (ACC),31,13-18,761,"1,720",44.2
209,UNC Greensboro (SoCon),32,20-12,818,"1,850",44.2
210,Georgia Tech (ACC),31,16-15,827,"1,871",44.2
211,Manhattan (MAAC),29,17-12,771,"1,745",44.2
212,Northwestern (Big Ten),31,16-15,813,"1,841",44.2
213,UTEP (CUSA),31,17-14,777,"1,761",44.1
214,UAlbany (America East),32,17-15,874,"1,981",44.1
215,Florida A&M (SWAC),29,13-16,708,"1,605",44.1
216,Kansas St. (Big 12),31,15-16,808,"1,832",44.1
217,Elon (CAA),32,17-15,795,"1,803",44.1
218,Marshall (Sun Belt),33,20-13,883,"2,004",44.1
219,Army West Point (Patriot),31,16-15,842,"1,911",44.1
220,American (Patriot),33,21-12,786,"1,784",44.1
221,Western Ill. (OVC),31,12-19,774,"1,759",44
222,Jacksonville (ASUN),32,19-13,847,"1,925",44
223,Southern U. (SWAC),31,20-11,827,"1,880",44
224,Arizona St. (Big 12),31,13-18,781,"1,776",44
225,Bowling Green (MAC),31,14-17,790,"1,797",44
226,LMU (CA) (WCC),32,17-15,821,"1,868",44
227,Vermont (America East),32,21-11,762,"1,735",43.9
228,Dartmouth (Ivy League),27,14-13,722,"1,644",43.9
229,James Madison (Sun Belt),32,20-12,823,"1,874",43.9
230,Campbell (CAA),32,15-17,792,"1,804",43.9
231,CSU Bakersfield (Big West),32,14-18,826,"1,883",43.9
232,Wyoming (Mountain West),31,12-19,754,"1,719",43.9
233,Boston U. (Patriot),32,16-16,768,"1,752",43.8
234,Youngstown St. (Horizon),32,20-12,839,"1,915",43.8
235,East Carolina (The American),31,18-13,826,"1,886",43.8
236,Northern Ky. (Horizon),33,17-16,852,"1,946",43.8
237,Troy (Sun Belt),32,22-10,801,"1,831",43.7
238,Kent St. (MAC),31,21-10,821,"1,877",43.7
239,Portland (WCC),32,12-20,805,"1,843",43.7
240,Lafayette (Patriot),33,13-20,809,"1,854",43.6
241,FDU (NEC),33,13-20,849,"1,946",43.6
242,App State (Sun Belt),31,17-14,738,"1,692",43.6
243,Oral Roberts (Summit League),30,7-23,738,"1,693",43.6
244,Canisius (MAAC),31,3-28,729,"1,673",43.6
245,Oakland (Horizon),33,16-17,834,"1,914",43.6
246,Loyola Maryland (Patriot),31,12-19,775,"1,779",43.6
247,Prairie View (SWAC),31,5-26,797,"1,830",43.6
248,Bethune-Cookman (SWAC),31,16-15,755,"1,734",43.5
249,Princeton (Ivy League),29,19-10,769,"1,767",43.5
250,Tulsa (The American),31,12-19,788,"1,811",43.5
251,LIU (NEC),33,17-16,831,"1,910",43.5
252,Pacific (WCC),33,9-24,819,"1,883",43.5
253,Mercer (SoCon),33,14-19,919,"2,113",43.5
254,North Dakota (Summit League),33,12-21,899,"2,069",43.5
255,Idaho St. (Big Sky),29,15-14,757,"1,743",43.4
256,SIUE (OVC),33,22-11,859,"1,981",43.4
257,ETSU (SoCon),32,19-13,815,"1,880",43.4
258,Long Beach St. (Big West),32,7-25,736,"1,698",43.3
259,Lamar University (Southland),31,19-12,807,"1,862",43.3
260,Grambling (SWAC),31,10-21,733,"1,692",43.3
261,Duquesne (Atlantic 10),31,13-18,773,"1,786",43.3
262,Murray St. (MVC),33,16-17,789,"1,823",43.3
263,Nicholls (Southland),31,19-12,827,"1,911",43.3
264,Northwestern St. (Southland),30,15-15,713,"1,648",43.3
265,Evansville (MVC),32,11-21,761,"1,759",43.3
266,Green Bay (Horizon),32,4-28,742,"1,716",43.2
267,Boston College (ACC),31,12-19,783,"1,811",43.2
268,Tennessee Tech (OVC),32,15-17,810,"1,874",43.2
269,Tarleton St. (WAC),31,12-19,678,"1,570",43.2
270,California Baptist (WAC),30,16-14,776,"1,799",43.1
271,Southern Miss. (Sun Belt),33,11-22,842,"1,954",43.1
272,Stanford (ACC),31,19-12,787,"1,828",43.1
273,Ga. Southern (Sun Belt),33,17-16,887,"2,063",43
274,Kansas City (Summit League),33,13-20,816,"1,898",43
275,FIU (CUSA),31,9-22,783,"1,822",43
276,IU Indy (Horizon),32,10-22,803,"1,873",42.9
277,Sacramento St. (Big Sky),32,7-25,746,"1,741",42.8
278,South Carolina (SEC),31,12-19,718,"1,676",42.8
279,Coastal Carolina (Sun Belt),32,10-22,740,"1,728",42.8
280,Utah Tech (WAC),31,6-25,766,"1,789",42.8
281,Kennesaw St. (CUSA),31,18-13,808,"1,891",42.7
282,Rider (MAAC),31,13-18,756,"1,770",42.7
283,Valparaiso (MVC),34,15-19,873,"2,044",42.7
284,Siena (MAAC),31,14-17,755,"1,768",42.7
285,Western Mich. (MAC),31,12-19,824,"1,931",42.7
286,Hofstra (CAA),33,15-18,794,"1,861",42.7
287,VMI (SoCon),34,15-19,833,"1,954",42.6
288,UC Riverside (Big West),32,21-11,849,"1,992",42.6
289,Buffalo (MAC),31,9-22,776,"1,821",42.6
290,Merrimack (MAAC),31,17-14,744,"1,746",42.6
291,Quinnipiac (MAAC),31,19-12,813,"1,908",42.6
292,Hampton (CAA),33,17-16,856,"2,010",42.6
293,Texas Southern (SWAC),31,15-16,816,"1,917",42.6
294,Charleston So. (Big South),32,10-22,769,"1,808",42.5
295,Navy (Patriot),33,15-18,817,"1,922",42.5
296,Oklahoma St. (Big 12),31,15-16,756,"1,779",42.5
297,NC State (ACC),31,12-19,764,"1,798",42.5
298,West Virginia (Big 12),31,19-12,761,"1,791",42.5
299,Arkansas St. (Sun Belt),33,24-9,896,"2,111",42.4
300,UTSA (The American),30,12-18,792,"1,866",42.4
301,Eastern Ky. (ASUN),32,18-14,883,"2,081",42.4
302,Western Ky. (CUSA),31,17-14,820,"1,933",42.4
303,UMES (MEAC),30,6-24,713,"1,681",42.4
304,Charlotte (The American),31,10-21,724,"1,708",42.4
305,Southern Utah (WAC),30,12-18,735,"1,735",42.4
306,Air Force (Mountain West),31,4-27,660,"1,559",42.3
307,Houston Christian (Southland),32,12-20,742,"1,753",42.3
308,Austin Peay (ASUN),33,14-19,836,"1,980",42.2
309,SFA (Southland),31,14-17,756,"1,791",42.2
310,Penn (Ivy League),27,8-19,666,"1,578",42.2
311,Fordham (Atlantic 10),31,11-20,796,"1,890",42.1
312,Towson (CAA),32,22-10,811,"1,926",42.1
313,Rice (The American),31,13-18,725,"1,723",42.1
314,UCF (Big 12),31,16-15,815,"1,941",42
315,Texas A&M (SEC),31,22-9,774,"1,847",41.9
316,The Citadel (SoCon),30,5-25,706,"1,685",41.9
317,Iona (MAAC),31,15-16,795,"1,898",41.9
318,UT Martin (OVC),33,14-19,836,"1,997",41.9
319,California (ACC),31,13-18,786,"1,880",41.8
320,Jackson St. (SWAC),31,14-17,763,"1,827",41.8
321,TCU (Big 12),31,16-15,755,"1,809",41.7
322,Richmond (Atlantic 10),31,10-21,706,"1,692",41.7
323,Morehead St. (OVC),32,15-17,741,"1,779",41.7
324,New Mexico St. (CUSA),31,17-14,760,"1,831",41.5
325,Seattle U (WAC),30,13-17,704,"1,697",41.5
326,Stony Brook (CAA),32,8-24,739,"1,784",41.4
327,La Salle (Atlantic 10),31,13-18,798,"1,934",41.3
328,New Hampshire (America East),32,8-24,772,"1,872",41.2
329,Eastern Ill. (OVC),31,12-19,742,"1,801",41.2
330,New Orleans (Southland),31,4-27,758,"1,840",41.2
331,Detroit Mercy (Horizon),32,8-24,781,"1,897",41.2
332,Alcorn (SWAC),31,11-20,729,"1,771",41.2
333,Monmouth (CAA),33,13-20,784,"1,908",41.1
334,Massachusetts (Atlantic 10),31,12-19,816,"1,986",41.1
335,UC Davis (Big West),31,15-16,710,"1,730",41
336,NIU (MAC),31,6-25,756,"1,843",41
337,Fairfield (MAAC),31,12-19,761,"1,857",41
338,Central Ark. (ASUN),33,9-24,817,"1,995",41
339,N.C. A&T (CAA),32,7-25,791,"1,937",40.8
340,Alabama St. (SWAC),31,16-15,802,"1,964",40.8
341,ULM (Sun Belt),32,7-25,782,"1,920",40.7
342,San Diego (WCC),33,6-27,820,"2,016",40.7
343,Alabama A&M (SWAC),31,10-21,778,"1,915",40.6
344,Fresno St. (Mountain West),31,6-25,760,"1,874",40.6
345,Wagner (NEC),30,14-16,663,"1,635",40.6
346,Cal St. Fullerton (Big West),32,6-26,683,"1,701",40.2
347,NJIT (America East),31,6-25,726,"1,815",40
348,Louisiana (Sun Belt),33,12-21,757,"1,897",39.9
349,Seton Hall (Big East),31,7-24,685,"1,717",39.9
350,Old Dominion (Sun Belt),35,15-20,839,"2,120",39.6
351,Coppin St. (MEAC),29,6-23,627,"1,587",39.5
352,Saint Peter's (MAAC),28,12-16,624,"1,581",39.5
353,Western Caro. (SoCon),30,8-22,720,"1,828",39.4
354,Mississippi Val. (SWAC),31,3-28,610,"1,568",38.9
355,Chicago St. (NEC),32,4-28,709,"1,858",38.2
