Rank,Team,GM,W-L,ST,STPG
341,Syracuse (ACC),31,13-18,149,4.8
342,Binghamton (America East),32,15-17,153,4.8
343,NJIT (America East),31,6-25,148,4.8
344,Charleston So. (Big South),32,10-22,151,4.7
345,South Dakota St. (Summit League),32,20-12,150,4.7
346,Portland (WCC),32,12-20,149,4.7
347,Rice (The American),31,13-18,144,4.6
348,Holy Cross (Patriot),32,13-19,148,4.6
349,Illinois (Big Ten),31,20-11,140,4.5
350,Wyoming (Mountain West),31,12-19,129,4.2
351,Butler (Big East),31,13-18,119,3.8
352,North Dakota St. (Summit League),32,21-11,117,3.7
353,Creighton (Big East),31,22-9,111,3.6
354,Hawaii (Big West),31,15-16,110,3.5
355,Coastal Carolina (Sun Belt),32,10-22,105,3.3
